route_key,final_service_units
2025-02-05_36_22,1016
2025-02-11_02_14,1369
2025-01-05_43_47,2743
2025-02-04_25_23,904
2025-01-07_41_36,2835
2025-02-12_46_18,1577
2025-02-20_47_05,3292
2025-02-14_35_46,1844
2025-01-03_45_46,5265
2025-01-17_47_03,1486
2025-02-23_03_47,2971
2025-01-20_09_46,6685
2025-01-13_46_44,4491
2025-02-13_28_45,1913
2025-02-05_47_46,1723
2025-01-18_45_09,3248
2025-02-24_36_27,1273
2025-01-28_13_23,1964
2025-02-01_23_13,2457
2025-01-03_28_45,1331
2025-02-06_46_18,1916
2025-01-05_45_28,2212
2025-01-31_46_26,1844
2025-01-18_46_15,1798
2025-02-18_28_47,2527
2025-02-12_12_36,1873
2025-01-30_38_36,920
2025-01-20_46_48,3496
2025-02-07_39_45,1388
2025-02-20_46_26,1683
2025-01-15_02_19,2207
2025-02-06_42_45,1385
2025-01-02_48_45,2684
2025-01-19_03_47,4046
2025-01-21_47_30,1536
2025-01-17_30_02,2102
2025-02-19_21_02,1228
2025-01-08_45_47,4702
2025-01-11_47_46,3037
2025-01-22_46_47,1675
2025-01-22_18_46,1709
2025-02-28_18_46,1726
2025-01-17_17_23,1227
2025-02-11_26_46,1630
2025-02-02_02_40,2966
2025-01-11_47_30,2630
2025-02-12_47_06,1546
2025-01-03_35_46,1873
2025-02-10_15_46,2330
2025-02-07_36_27,1656
2025-02-01_46_20,1853
2025-01-12_46_20,2147
2025-02-21_21_02,1372
2025-02-18_47_06,1394
2025-02-13_45_05,2699
2025-02-17_46_45,5436
2025-01-03_13_23,1984
2025-02-05_48_45,1449
2025-01-07_47_05,3573
2025-02-05_02_21,1419
2025-01-07_44_46,1451
2025-02-26_14_30,1723
2025-02-10_45_42,1621
2025-02-02_46_44,3571
2025-02-17_38_36,2423
2025-02-16_46_09,6434
2025-02-21_32_19,2211
2025-02-15_47_43,3107
2025-02-26_34_45,1610
2025-01-28_47_28,1523
2025-01-21_45_46,3675
2025-02-16_30_14,1416
2025-02-24_03_45,2162
2025-02-04_12_36,2091
2025-01-20_43_47,5053
2025-02-04_48_45,1886
2025-01-22_27_36,1315
2025-02-03_47_06,1148
2025-01-23_46_09,4718
2025-02-14_03_45,1396
2025-02-15_36_12,2479
2025-02-03_41_36,3341
2025-01-12_13_23,2634
2025-02-05_02_16,1467
2025-02-07_05_45,1627
2025-02-17_36_11,2843
2025-01-15_46_15,1301
2025-02-02_33_46,3535
2025-02-07_47_02,2428
2025-02-04_48_46,3326
2025-01-06_47_02,1775
2025-01-01_07_36,2982
2025-01-20_36_41,3138
2025-02-15_03_47,1665
2025-01-22_03_47,1581
2025-01-13_36_37,522
2025-02-18_32_19,1602
2025-01-23_02_19,2297
2025-01-15_47_46,1725
2025-02-26_05_45,1726
2025-01-18_45_34,1586
2025-01-21_21_02,1153
2025-01-14_21_02,1116
2025-02-04_46_47,1591
2025-02-22_41_36,3223
2025-02-25_46_44,2869
2025-01-03_41_36,4324
2025-01-13_07_36,1818
2025-01-25_47_08,1311
2025-02-23_47_08,1864
2025-02-07_47_08,2261
2025-02-09_46_09,6431
2025-01-25_47_06,1327
2025-01-28_46_33,658
2025-01-19_46_47,2697
2025-02-18_19_02,2029
2025-02-14_46_45,5068
2025-01-13_15_46,1121
2025-02-01_48_46,5670
2025-02-19_47_28,2466
2025-01-10_09_45,3400
2025-02-11_46_26,1696
2025-01-18_02_14,1585
2025-01-31_22_36,1659
2025-01-07_45_46,3257
2025-01-02_46_48,4207
2025-01-15_21_02,1173
2025-02-28_02_14,2117
2025-01-11_47_03,4448
2025-02-28_02_21,1938
2025-02-01_34_45,1603
2025-01-07_09_45,3272
2025-02-19_03_45,1734
2025-01-13_05_45,1630
2025-02-10_02_24,1212
2025-01-21_45_03,1043
2025-01-08_46_44,3347
2025-02-20_03_47,1634
2025-02-16_34_45,4196
2025-02-14_20_46,1518
2025-02-02_45_34,1575
2025-02-13_47_46,2352
2025-01-14_45_03,975
2025-01-23_09_46,4166
2025-02-14_02_24,1805
2025-02-10_02_47,2119
2025-02-04_46_35,1392
2025-02-24_01_02,1494
2025-02-17_17_23,1899
2025-02-15_09_46,4920
2025-02-16_23_13,2101
2025-01-28_37_36,298
2025-02-19_15_46,1052
2025-01-05_39_45,3283
2025-01-01_02_31,2318
2025-02-04_47_05,2250
2025-01-22_45_05,1603
2025-02-16_19_30,2735
2025-02-11_46_47,1682
2025-01-16_28_47,2567
2025-01-25_19_30,1927
2025-02-21_19_32,2890
2025-01-26_46_47,2384
2025-01-05_30_14,1539
2025-01-30_26_46,1620
2025-02-13_45_47,5751
2025-01-21_43_47,3114
2025-02-12_47_02,1625
2025-01-21_47_45,3868
2025-01-11_45_44,2206
2025-01-17_30_14,1816
2025-01-02_46_33,1621
2025-01-08_47_02,1547
2025-01-14_36_11,1449
2025-02-22_46_09,4799
2025-02-05_36_27,1749
2025-01-17_01_02,1343
2025-02-27_17_23,1324
2025-02-26_45_03,1656
2025-02-27_26_46,1821
2025-02-18_04_29,1176
2025-02-11_36_37,1639
2025-01-06_12_36,2502
2025-01-20_01_02,1526
2025-02-16_46_48,4382
2025-01-23_45_47,4269
2025-01-27_02_01,1338
2025-02-12_08_47,1366
2025-01-11_02_01,1326
2025-01-14_45_46,3088
2025-01-09_16_02,1268
2025-01-21_02_01,1295
2025-01-16_33_46,3003
2025-02-05_44_46,1609
2025-01-12_23_25,1169
2025-02-09_09_45,5647
2025-01-02_13_23,2037
2025-01-03_46_18,1647
2025-02-14_36_27,2025
2025-01-09_46_35,4469
2025-01-08_25_23,1257
2025-01-30_16_02,1150
2025-01-07_02_47,1800
2025-01-04_45_05,2172
2025-01-03_47_30,2104
2025-01-17_40_02,2186
2025-02-23_36_27,1487
2025-02-02_02_01,1585
2025-02-10_48_46,6322
2025-01-10_46_18,4450
2025-02-26_16_02,1379
2025-01-19_46_15,1510
2025-02-24_35_46,3093
2025-02-19_45_28,2270
2025-02-05_02_47,2039
2025-01-31_08_47,1230
2025-02-04_05_45,1818
2025-01-02_47_46,2220
2025-02-17_30_14,1694
2025-01-12_28_45,2475
2025-01-11_11_36,1608
2025-01-25_45_48,2130
2025-02-21_45_47,6743
2025-01-19_08_47,4280
2025-02-16_28_45,4562
2025-01-30_30_14,1485
2025-01-19_44_46,8154
2025-02-14_36_12,2682
2025-02-11_39_45,1536
2025-02-15_45_28,3228
2025-01-08_04_29,1182
2025-01-10_45_39,3731
2025-01-22_02_21,1360
2025-02-07_36_11,4035
2025-02-09_20_46,2487
2025-02-07_45_47,6355
2025-01-12_47_03,2593
2025-02-23_02_14,1684
2025-01-15_33_46,2961
2025-02-25_02_47,2081
2025-01-08_06_47,1008
2025-01-17_45_48,2795
2025-01-10_46_48,10157
2025-02-12_23_25,1763
2025-02-03_36_22,1422
2025-01-20_13_23,2293
2025-02-19_02_24,1491
2025-01-12_03_45,1257
2025-01-04_46_15,1697
2025-02-09_46_26,2061
2025-02-20_46_48,4423
2025-01-05_48_46,7274
2025-02-08_05_45,2078
2025-02-21_37_36,1330
2025-01-13_46_20,2299
2025-01-02_31_02,2796
2025-02-04_19_32,2324
2025-01-31_46_35,3801
2025-02-14_43_47,2549
2025-02-28_45_34,2877
2025-01-03_25_23,2134
2025-02-02_45_42,1873
2025-01-26_48_45,2905
2025-02-26_31_02,2053
2025-02-13_21_02,1155
2025-01-24_21_02,1206
2025-02-17_39_45,2496
2025-01-12_32_19,2316
2025-01-07_27_36,1277
2025-02-14_02_01,1899
2025-02-06_31_02,1647
2025-02-23_36_12,2162
2025-02-25_23_25,1359
2025-02-05_46_20,1296
2025-01-30_36_27,1155
2025-02-27_27_36,1576
2025-01-15_36_27,1344
2025-02-22_38_36,2064
2025-02-26_25_23,1505
2025-02-10_01_02,1613
2025-01-09_47_05,7865
2025-02-10_47_06,1257
2025-01-26_25_23,3757
2025-01-15_46_26,1653
2025-02-09_11_36,5217
2025-01-16_04_29,1216
2025-01-07_36_27,976
2025-02-04_02_24,1236
2025-02-03_45_44,1042
2025-01-07_19_30,1649
2025-01-30_12_36,1937
2025-02-20_46_35,2716
2025-01-19_02_16,1536
2025-02-17_32_19,2924
2025-01-08_46_47,1572
2025-01-31_41_36,3006
2025-02-02_46_15,1639
2025-01-12_02_16,1577
2025-02-05_04_29,1098
2025-01-12_44_46,2509
2025-01-17_03_45,1608
2025-02-23_37_36,1549
2025-01-21_25_23,1470
2025-01-09_15_46,888
2025-01-01_47_43,1875
2025-01-14_36_12,1277
2025-02-13_08_47,1430
2025-01-12_30_02,2419
2025-02-02_31_02,3624
2025-01-21_47_05,2052
2025-01-09_48_46,2694
2025-01-03_36_07,2651
2025-02-07_47_45,4998
2025-01-27_46_35,1488
2025-02-22_26_46,2097
2025-01-23_19_32,2210
2025-02-18_16_02,1573
2025-02-09_37_36,1748
2025-01-24_28_47,1483
2025-01-05_47_08,1801
2025-02-02_19_32,3089
2025-01-28_45_48,1260
2025-01-30_45_44,1621
2025-02-12_09_45,2987
2025-01-24_20_46,1781
2025-01-16_42_45,1313
2025-01-12_36_07,1750
2025-02-09_08_47,3171
2025-01-17_47_46,2110
2025-01-22_36_37,342
2025-01-07_47_43,3888
2025-02-05_14_30,1740
2025-01-20_36_11,1610
2025-02-16_41_36,4400
2025-01-22_02_31,2060
2025-01-23_48_45,1263
2025-01-23_02_14,1339
2025-01-21_09_45,3843
2025-02-28_43_47,2466
2025-02-19_02_19,1971
2025-02-22_44_45,1289
2025-01-04_38_36,1206
2025-02-17_45_46,4125
2025-01-16_39_45,1589
2025-01-04_02_47,2002
2025-01-14_02_30,1610
2025-02-03_09_45,4930
2025-01-02_17_23,1392
2025-02-21_36_07,2458
2025-01-02_02_16,1650
2025-01-07_40_02,2146
2025-02-06_46_48,5536
2025-02-05_45_03,1521
2025-02-10_02_14,1406
2025-02-16_14_30,3015
2025-01-16_19_30,1732
2025-01-28_03_47,1393
2025-02-12_19_02,1936
2025-02-11_27_36,1810
2025-02-09_46_20,1906
2025-02-10_02_40,2721
2025-02-13_06_47,1571
2025-01-23_42_45,1518
2025-02-24_47_46,2110
2025-01-18_28_45,2745
2025-02-04_01_02,1439
2025-02-10_18_46,2930
2025-02-04_09_46,3620
2025-02-20_05_45,1582
2025-01-11_02_16,1569
2025-01-14_47_03,927
2025-01-25_47_43,2107
2025-02-24_21_02,1497
2025-02-25_09_45,3509
2025-01-21_28_47,1605
2025-01-12_46_44,5039
2025-02-14_42_45,1765
2025-01-29_44_45,992
2025-02-26_05_47,2377
2025-01-19_26_46,3156
2025-01-20_06_47,3345
2025-01-15_47_30,1693
2025-02-08_36_37,1580
2025-01-12_36_11,1341
2025-01-13_46_45,3688
2025-01-16_48_45,2454
2025-02-21_47_43,4486
2025-01-14_04_29,1042
2025-02-24_47_03,1538
2025-01-20_39_45,2553
2025-02-01_45_39,2188
2025-02-15_46_18,2302
2025-01-26_47_30,2098
2025-01-22_17_23,1252
2025-02-26_44_46,1369
2025-02-28_48_46,4839
2025-01-10_02_14,1872
2025-02-16_47_06,1674
2025-01-18_46_18,2076
2025-01-31_06_47,1050
2025-01-14_44_45,1798
2025-01-22_46_20,1427
2025-02-10_05_47,3827
2025-02-24_30_14,1419
2025-01-07_36_07,1403
2025-02-14_13_23,2375
2025-01-23_45_44,1374
2025-02-08_35_46,1669
2025-02-21_19_02,2046
2025-02-28_45_39,3895
2025-01-12_15_46,1156
2025-02-26_47_05,3414
2025-02-10_23_13,2085
2025-02-01_20_46,1656
2025-01-04_01_02,1486
2025-02-13_37_36,1457
2025-01-23_45_42,2036
2025-01-24_02_19,3055
2025-01-11_46_20,3193
2025-02-18_05_47,2588
2025-01-05_46_20,1696
2025-02-03_40_02,2796
2025-01-07_02_31,1963
2025-01-14_27_36,1256
2025-02-02_40_02,3401
2025-02-28_03_47,1348
2025-01-06_03_47,1307
2025-01-30_45_09,3753
2025-01-25_40_02,2892
2025-01-15_23_13,1300
2025-01-19_48_46,9796
2025-01-15_01_02,1270
2025-01-24_02_47,2405
2025-02-09_03_45,2599
2025-02-07_19_30,1436
2025-02-12_41_36,2634
2025-01-29_46_45,3150
2025-02-17_47_08,1279
2025-02-10_47_10,1254
2025-01-31_36_22,1390
2025-02-04_26_46,1392
2025-01-22_46_15,1479
2025-01-19_05_45,4494
2025-02-24_45_03,1280
2025-02-27_45_39,2605
2025-01-06_02_40,2186
2025-01-26_02_16,1543
2025-01-19_36_41,2876
2025-02-16_02_40,3311
2025-01-01_45_05,1603
2025-01-08_41_36,3090
2025-01-14_47_45,4604
2025-01-17_11_36,1515
2025-01-07_46_18,1463
2025-02-14_45_28,5349
2025-01-22_39_45,1180
2025-02-12_46_45,4108
2025-01-22_14_30,1572
2025-01-22_08_47,1382
2025-02-28_05_47,2521
2025-02-27_19_02,1418
2025-01-12_36_22,1688
2025-01-18_05_47,6521
2025-01-03_30_02,2146
2025-02-21_45_34,3857
2025-01-03_05_45,2019
2025-01-05_36_22,2128
2025-02-21_02_19,3285
2025-01-14_46_20,1614
2025-01-05_13_23,3097
2025-01-22_35_46,2038
2025-02-10_38_36,1897
2025-02-19_45_05,1876
2025-01-27_46_09,3228
2025-01-18_09_45,3877
2025-02-11_45_42,1601
2025-01-07_46_44,2001
2025-01-16_02_21,1322
2025-01-22_46_18,1622
2025-01-20_47_28,1857
2025-01-07_45_03,2352
2025-01-15_32_19,1972
2025-01-18_16_02,1388
2025-01-13_19_30,1787
2025-02-06_45_44,1699
2025-01-26_36_41,3101
2025-02-17_46_33,859
2025-01-23_08_47,1295
2025-01-04_36_41,3801
2025-01-14_09_45,4186
2025-01-20_46_20,1233
2025-01-05_34_45,5245
2025-01-21_02_30,1829
2025-02-07_02_30,2976
2025-01-09_05_45,1538
2025-01-27_46_45,4415
2025-02-11_36_22,1206
2025-01-30_44_45,1117
2025-01-10_19_32,2620
2025-02-23_23_25,1566
2025-02-25_25_23,1588
2025-02-25_47_46,2004
2025-02-09_47_06,1627
2025-01-21_46_20,1243
2025-01-17_02_14,1654
2025-01-22_45_34,1707
2025-01-08_30_02,1401
2025-02-18_46_18,1245
2025-01-29_46_47,1564
2025-01-09_02_40,1996
2025-01-06_47_30,1879
2025-01-16_02_40,2121
2025-01-04_46_26,1753
2025-01-19_46_44,3035
2025-02-06_46_47,1832
2025-01-26_21_02,1828
2025-01-19_16_02,2220
2025-01-13_09_45,3484
2025-01-04_02_24,1415
2025-02-24_45_48,1651
2025-01-22_02_16,1373
2025-02-16_02_14,1846
2025-02-15_46_09,5041
2025-02-17_02_19,1916
2025-01-13_46_33,2473
2025-01-13_27_36,1229
2025-02-25_03_47,1528
2025-02-27_06_47,1399
2025-02-14_09_46,4607
2025-02-15_36_41,3163
2025-01-24_36_12,2599
2025-02-11_20_46,2333
2025-01-18_47_43,2416
2025-01-18_48_45,2591
2025-01-05_36_27,1024
2025-01-17_06_47,2753
2025-02-22_05_45,2064
2025-01-30_45_46,5167
2025-02-16_46_33,1372
2025-01-18_02_24,1391
2025-02-11_45_48,1404
2025-01-01_45_03,1521
2025-01-28_36_11,1722
2025-02-18_19_30,2105
2025-02-06_09_45,2507
2025-02-09_26_46,2835
2025-02-27_47_43,2797
2025-01-22_02_24,1172
2025-01-21_30_02,1756
2025-02-24_25_23,1557
2025-01-05_36_11,1636
2025-01-27_04_29,1140
2025-02-27_46_18,1966
2025-01-09_45_28,4851
2025-01-03_36_37,214
2025-01-23_45_48,2316
2025-01-31_47_05,3577
2025-02-09_06_47,2486
2025-01-25_47_46,2063
2025-02-02_02_14,1627
2025-01-01_48_46,8207
2025-02-04_11_36,2418
2025-01-21_36_27,1142
2025-02-13_02_40,2977
2025-01-21_46_45,3870
2025-02-24_43_47,2711
2025-01-25_02_01,1419
2025-02-25_48_45,1501
2025-01-26_47_46,2144
2025-01-14_02_16,1126
2025-01-20_19_32,2575
2025-02-13_23_25,1714
2025-01-20_12_36,2006
2025-01-29_47_43,1851
2025-02-21_47_46,2722
2025-02-03_37_36,1612
2025-02-02_47_43,2223
2025-01-04_47_28,2394
2025-02-18_36_37,1619
2025-02-14_47_45,5281
2025-01-08_02_21,1309
2025-02-22_45_46,4562
2025-02-06_30_14,1875
2025-02-16_47_43,2899
2025-01-16_23_25,1376
2025-01-27_44_46,2182
2025-01-07_05_47,1710
2025-02-14_45_03,2428
2025-01-07_46_20,1324
2025-02-25_27_36,1766
2025-01-31_47_43,2840
2025-01-23_34_45,1280
2025-02-15_44_45,1333
2025-01-28_02_16,1317
2025-01-30_36_12,1733
2025-02-28_46_18,2777
2025-01-21_02_14,1137
2025-01-15_02_01,1255
2025-02-14_08_47,1501
2025-01-25_36_12,2198
2025-01-03_15_46,1953
2025-01-06_22_36,1309
2025-01-29_19_32,2142
2025-02-02_35_46,5317
2025-02-17_02_40,2877
2025-01-17_28_47,1712
2025-01-22_20_46,1623
2025-01-29_02_31,2392
2025-01-11_45_46,5061
2025-01-15_03_47,3202
2025-01-29_45_03,1440
2025-02-26_47_46,1947
2025-01-31_44_46,2085
2025-01-16_02_16,1459
2025-02-22_14_30,2249
2025-02-09_41_36,4222
2025-01-03_04_29,1392
2025-01-11_19_32,2777
2025-02-04_22_36,1191
2025-01-22_32_19,1889
2025-01-16_06_47,3684
2025-02-16_36_41,2782
2025-01-17_25_23,1177
2025-02-19_44_45,1177
2025-01-21_31_02,2145
2025-02-17_47_10,1083
2025-01-27_36_37,1297
2025-02-04_47_30,1694
2025-02-25_46_26,1599
2025-02-13_20_46,1314
2025-01-16_17_23,1264
2025-01-18_05_45,3052
2025-02-21_46_45,5341
2025-01-18_02_30,3925
2025-01-05_02_24,1335
2025-02-19_05_47,2375
2025-02-12_45_48,1669
2025-01-06_46_18,1335
2025-02-22_25_23,2186
2025-01-04_45_09,3069
2025-01-30_47_10,1061
2025-01-06_23_25,1678
2025-01-02_34_45,3446
2025-02-17_30_02,2297
2025-02-05_30_02,1555
2025-02-18_27_36,1841
2025-01-21_01_02,1441
2025-01-25_16_02,1541
2025-01-07_36_11,1591
2025-01-02_47_28,1917
2025-01-20_30_14,1266
2025-01-10_26_46,1835
2025-01-02_45_05,1803
2025-01-06_30_02,1999
2025-02-05_47_02,1686
2025-02-17_31_02,2967
2025-02-08_02_16,1593
2025-01-07_17_23,1474
2025-01-26_47_08,1343
2025-02-15_23_13,2689
2025-01-12_02_01,1342
2025-02-28_44_45,1303
2025-02-13_48_46,3020
2025-01-06_46_47,1659
2025-01-28_45_03,1145
2025-01-04_45_42,1730
2025-02-20_45_28,3565
2025-02-06_07_36,1674
2025-01-16_36_22,1086
2025-02-20_45_05,2268
2025-01-13_45_42,1562
2025-02-19_46_35,1779
2025-02-13_46_47,2372
2025-02-01_45_47,4247
2025-02-20_47_03,2027
2025-01-27_41_36,3162
2025-01-23_02_47,1778
2025-02-01_46_47,1743
2025-01-28_45_09,2585
2025-01-10_02_16,1951
2025-02-14_11_36,2646
2025-01-17_22_36,1324
2025-01-06_36_41,3302
2025-02-06_02_14,1463
2025-02-21_45_48,2976
2025-02-28_31_02,1946
2025-02-05_16_02,1325
2025-01-25_46_18,1841
2025-02-22_03_45,1387
2025-01-17_36_07,1972
2025-02-04_05_47,2430
2025-01-03_46_44,2726
2025-02-11_02_01,1560
2025-01-15_31_02,2060
2025-02-26_02_47,1942
2025-01-21_06_47,1523
2025-02-04_02_14,1256
2025-01-07_45_48,1313
2025-02-21_45_09,5787
2025-02-03_34_45,2600
2025-01-29_35_46,1490
2025-01-14_46_15,1439
2025-01-14_36_07,1564
2025-02-15_47_10,1494
2025-01-09_30_02,1332
2025-01-20_45_28,1506
2025-01-01_45_39,1780
2025-02-15_43_47,2973
2025-01-17_44_45,1500
2025-01-01_33_46,2245
2025-01-12_44_45,1432
2025-02-14_47_28,3872
2025-01-29_45_46,3878
2025-01-30_19_32,2133
2025-01-08_46_45,3428
2025-02-17_47_46,2028
2025-01-05_12_36,3654
2025-01-10_14_30,1634
2025-01-10_15_46,1337
2025-01-17_47_30,2459
2025-01-09_06_47,1063
2025-02-16_04_29,1447
2025-01-09_44_46,1289
2025-02-06_02_19,2503
2025-02-22_36_07,1982
2025-01-22_09_46,4020
2025-01-31_45_05,2327
2025-01-21_46_44,1678
2025-01-25_02_24,1400
2025-01-15_39_45,1558
2025-01-18_06_47,3874
2025-02-09_45_09,3877
2025-02-09_17_23,1710
2025-01-14_46_18,1956
2025-02-20_47_30,2097
2025-01-10_47_03,5331
2025-02-10_14_30,2318
2025-01-21_46_15,1268
2025-01-03_45_28,3939
2025-01-15_46_44,2003
2025-02-22_37_36,1542
2025-01-02_47_03,1752
2025-01-03_46_45,4034
2025-02-23_39_45,3490
2025-02-14_27_36,1633
2025-02-06_02_21,1432
2025-02-11_02_16,1472
2025-01-08_40_02,2165
2025-01-21_42_45,1571
2025-02-09_35_46,4816
2025-02-23_35_46,5145
2025-01-22_38_36,836
2025-01-01_36_37,148
2025-02-20_28_47,1837
2025-02-20_45_39,2699
2025-01-23_46_18,1985
2025-01-26_36_37,607
2025-02-01_14_30,1553
2025-02-23_05_45,3076
2025-02-19_46_15,1332
2025-01-18_46_20,2001
2025-01-17_02_47,2258
2025-01-21_03_45,2639
2025-01-04_45_48,1715
2025-02-10_27_36,2291
2025-01-16_46_35,2396
2025-01-23_31_02,1957
2025-02-22_46_47,1899
2025-01-17_43_47,4007
2025-02-11_41_36,2780
2025-02-06_45_42,2046
2025-02-01_45_09,3887
2025-01-09_34_45,1326
2025-02-03_27_36,1959
2025-01-09_32_19,1833
2025-02-17_46_18,1207
2025-02-16_35_46,5931
2025-02-12_22_36,1363
2025-01-05_46_44,3487
2025-01-03_23_13,1991
2025-02-06_13_23,1809
2025-02-07_02_19,3245
2025-02-04_36_22,1164
2025-02-22_36_22,1698
2025-01-25_20_46,1608
2025-01-12_14_30,2962
2025-01-27_26_46,1827
2025-02-17_47_06,1414
2025-01-14_37_36,500
2025-01-23_13_23,1779
2025-01-25_46_44,3382
2025-01-09_12_36,1406
2025-01-06_37_36,139
2025-01-13_46_35,4817
2025-02-07_12_36,2238
2025-02-14_45_39,4195
2025-01-09_13_23,1639
2025-02-26_44_45,1111
2025-01-29_36_11,1598
2025-02-11_46_18,1564
2025-02-02_42_45,3396
2025-02-15_21_02,1488
2025-02-16_27_36,2814
2025-02-27_47_03,1774
2025-01-19_31_02,3336
2025-01-13_36_12,1510
2025-01-03_02_47,2290
2025-01-16_19_32,2258
2025-01-17_05_47,4300
2025-02-07_45_48,3176
2025-02-12_36_12,1727
2025-01-02_27_36,1641
2025-02-12_46_35,1920
2025-02-10_44_46,4036
2025-01-25_06_47,1400
2025-01-25_48_45,1885
2025-01-24_15_46,1268
2025-02-03_45_39,1096
2025-02-24_18_46,2083
2025-01-11_36_27,1127
2025-02-06_36_37,1476
2025-01-27_09_45,3439
2025-02-25_02_30,1772
2025-02-12_19_32,2387
2025-02-19_45_09,3394
2025-01-21_05_45,2693
2025-02-18_02_47,1962
2025-02-25_47_10,1382
2025-01-06_47_28,1694
2025-01-29_46_35,1970
2025-01-09_46_20,2633
2025-02-06_23_13,1492
2025-01-11_20_46,1143
2025-01-04_31_02,2474
2025-01-09_28_47,1575
2025-02-25_19_30,1746
2025-01-25_45_46,4512
2025-02-11_34_45,1869
2025-02-02_36_22,1922
2025-01-19_44_45,3224
2025-02-10_09_46,6986
2025-02-03_47_28,1582
2025-02-20_45_34,2480
2025-02-07_09_45,3637
2025-02-28_02_24,1854
2025-02-01_46_18,2167
2025-02-07_47_03,2592
2025-02-16_05_45,3339
2025-02-19_45_48,1724
2025-02-04_34_45,1557
2025-02-20_35_46,1641
2025-02-28_46_48,7096
2025-02-02_02_30,3536
2025-01-31_48_45,1651
2025-01-19_02_40,2257
2025-02-10_26_46,2001
2025-01-30_02_40,2357
2025-02-03_36_41,3450
2025-01-12_47_05,7899
2025-01-23_22_36,961
2025-02-11_45_34,1274
2025-02-20_47_28,2904
2025-01-14_39_45,2328
2025-01-15_47_05,2975
2025-02-06_26_46,1582
2025-01-16_44_46,4309
2025-02-08_39_45,1778
2025-02-28_48_45,1709
2025-02-05_19_30,2018
2025-02-13_46_45,4739
2025-01-26_08_47,2079
2025-01-02_15_46,2767
2025-01-04_44_46,2203
2025-01-02_07_36,2992
2025-02-23_46_35,2314
2025-02-20_46_33,1196
2025-02-19_45_44,1271
2025-01-07_19_02,2114
2025-01-26_45_48,1765
2025-02-26_23_25,1459
2025-02-16_46_45,7424
2025-01-17_46_47,1662
2025-01-21_03_47,1865
2025-01-20_47_03,1172
2025-01-16_08_47,3086
2025-02-26_01_02,1436
2025-01-16_03_47,2765
2025-02-01_46_15,2347
2025-02-15_46_35,3116
2025-01-10_45_48,3982
